
===============================================================
                Cortex-M3 ICODE BUS TRACE
===============================================================

TIME(ns)     ADDRESS      INSTRUCTION    HTRANS   HRESP
 39920.000ns   0000137c   bb34461c      NONSEQ      OKAY
 39960.000ns   00001380   46384629      NONSEQ      OKAY
 40000.000ns   00001384   ffc2f7ff      NONSEQ      OKAY
 40120.000ns   00001388   46041c43      NONSEQ      OKAY
 40200.000ns   0000138c   6834d14d      NONSEQ      OKAY
 40240.000ns   0000130c   4e0eb570      NONSEQ      OKAY
 40280.000ns   00001310   6831460c      NONSEQ      OKAY
 40320.000ns   00001314   b9114605      NONSEQ      OKAY
 40640.000ns   00001318   f91af000      NONSEQ      OKAY
 40680.000ns   0000131c   46216030      NONSEQ      OKAY
 40840.000ns   00001320   f0004628      NONSEQ      OKAY
 40880.000ns   00001550   2300b538      NONSEQ      OKAY
 40920.000ns   00001554   46044d05      NONSEQ      OKAY
 40960.000ns   00001558   602b4608      NONSEQ      OKAY
 41240.000ns   0000155c   ff08f000      NONSEQ      OKAY
 41360.000ns   00001560   d1021c43      NONSEQ      OKAY
 41400.000ns   00001564   b103682b      NONSEQ      OKAY
 41440.000ns   00002370   49054a04      NONSEQ      OKAY
 41480.000ns   00002374   2b006813      NONSEQ      OKAY
 41520.000ns   00002378   460bbf08      NONSEQ      OKAY
 41640.000ns   0000237c   60104418      NONSEQ      OKAY
 41760.000ns   00002380   47704618      NONSEQ      OKAY
 41800.000ns   00002384   20000078      NONSEQ      OKAY
 41840.000ns   00002388   20000080      NONSEQ      OKAY
 41920.000ns   00001560   d1021c43      NONSEQ      OKAY
 41960.000ns   00001564   b103682b      NONSEQ      OKAY
 42000.000ns   00001568   bd386023      NONSEQ      OKAY
 42040.000ns   00001568   bd386023      NONSEQ      OKAY
 42080.000ns   0000156c   20000074      NONSEQ      OKAY
 42120.000ns   00001570   460cb510      NONSEQ      OKAY
 42400.000ns   0000131c   46216030      NONSEQ      OKAY
 42440.000ns   00001320   f0004628      NONSEQ      OKAY
 42480.000ns   00001324   1c43f915      NONSEQ      OKAY
 42560.000ns   00001328   1cc4d00a      NONSEQ      OKAY
 42600.000ns   00001550   2300b538      NONSEQ      OKAY
 42640.000ns   00001554   46044d05      NONSEQ      OKAY
 42680.000ns   00001558   602b4608      NONSEQ      OKAY
 42960.000ns   0000155c   ff08f000      NONSEQ      OKAY
 43080.000ns   00001560   d1021c43      NONSEQ      OKAY
 43120.000ns   00001564   b103682b      NONSEQ      OKAY
 43160.000ns   00002370   49054a04      NONSEQ      OKAY
 43200.000ns   00002374   2b006813      NONSEQ      OKAY
 43240.000ns   00002378   460bbf08      NONSEQ      OKAY
 43360.000ns   0000237c   60104418      NONSEQ      OKAY
 43480.000ns   00002380   47704618      NONSEQ      OKAY
 43520.000ns   00002384   20000078      NONSEQ      OKAY
 43560.000ns   00002388   20000080      NONSEQ      OKAY
 43640.000ns   00001560   d1021c43      NONSEQ      OKAY
 43680.000ns   00001564   b103682b      NONSEQ      OKAY
 43720.000ns   00001568   bd386023      NONSEQ      OKAY
 43760.000ns   00001568   bd386023      NONSEQ      OKAY
 43800.000ns   0000156c   20000074      NONSEQ      OKAY
 43840.000ns   00001570   460cb510      NONSEQ      OKAY
 44120.000ns   00001324   1c43f915      NONSEQ      OKAY
 44160.000ns   00001328   1cc4d00a      NONSEQ      OKAY
 44200.000ns   0000132c   0403f024      NONSEQ      OKAY
 44240.000ns   00001340   34fff04f      NONSEQ      OKAY
 44280.000ns   00001330   d00742a0      NONSEQ      OKAY
 44320.000ns   00001334   46281a21      NONSEQ      OKAY
 44360.000ns   00001338   f90af000      NONSEQ      OKAY
 44400.000ns   00001344   bd704620      NONSEQ      OKAY
 44440.000ns   00001348   20000070      NONSEQ      OKAY
 44480.000ns   0000134c   41f0e92d      NONSEQ      OKAY
 44520.000ns   00001350   f0251ccd      NONSEQ      OKAY
 44760.000ns   00001388   46041c43      NONSEQ      OKAY
 44800.000ns   0000138c   6834d14d      NONSEQ      OKAY
 44840.000ns   00001390   2e004626      NONSEQ      OKAY
 44880.000ns   00001394   6823d140      NONSEQ      OKAY
 44920.000ns   00001428   6025e7a1      NONSEQ      OKAY
 44960.000ns   0000142c   bf00e7de      NONSEQ      OKAY
 45000.000ns   00001430   2000006c      NONSEQ      OKAY
 45040.000ns   000013ec   f1044638      NONSEQ      OKAY
